Site,Subsample number,Height,Hits
Oaklands_Control,3,90,0
Oaklands_Control,3,110,0
Oaklands_Control,3,130,0
Oaklands_Control,3,150,0
Oaklands_Control,3,170,0
Oaklands_Control,3,190,0
Oaklands_Control,3,210,0
Oaklands_Control,3,230,0
Oaklands_Control,3,250,0
Oaklands_Control,3,270,0
Oaklands_Control,3,290,0
Oaklands_Control,3,310,0
Oaklands_Control,4,10,7
Oaklands_Control,4,30,2
Oaklands_Control,4,50,1
Oaklands_Control,4,70,0
Oaklands_Control,4,90,0
Oaklands_Control,4,110,0
Oaklands_Control,4,130,0
Oaklands_Control,4,150,0
Oaklands_Control,4,170,0
Oaklands_Control,4,190,0
Oaklands_Control,4,210,0
Oaklands_Control,4,230,0
Oaklands_Control,4,250,0
Oaklands_Control,4,270,0
Oaklands_Control,4,290,0
Oaklands_Control,4,310,0
Oaklands_Control,5,10,9
Oaklands_Control,5,30,3
Oaklands_Control,5,50,4
Oaklands_Control,5,70,0
Oaklands_Control,5,90,0
Oaklands_Control,5,110,0
Oaklands_Control,5,130,0
Oaklands_Control,5,150,0
Oaklands_Control,5,170,0
Oaklands_Control,5,190,0
Oaklands_Control,5,210,0
Oaklands_Control,5,230,0
Oaklands_Control,5,250,0
Oaklands_Control,5,270,0
Oaklands_Control,5,290,0
Oaklands_Control,5,310,0
Brookbuild_Exclosure,1,10,9
Brookbuild_Exclosure,1,30,5
Brookbuild_Exclosure,1,50,3
Brookbuild_Exclosure,1,70,2
Brookbuild_Exclosure,1,90,2
Brookbuild_Exclosure,1,110,0
Brookbuild_Exclosure,1,130,0
Brookbuild_Exclosure,1,150,0
Brookbuild_Exclosure,1,170,0
Brookbuild_Exclosure,1,190,0
Brookbuild_Exclosure,1,210,0
Brookbuild_Exclosure,1,230,0
Brookbuild_Exclosure,1,250,0
Brookbuild_Exclosure,1,270,0
Brookbuild_Exclosure,1,290,0
Brookbuild_Exclosure,1,310,0
Brookbuild_Exclosure,2,10,9
Brookbuild_Exclosure,2,30,7
Brookbuild_Exclosure,2,50,6
Brookbuild_Exclosure,2,70,5
Brookbuild_Exclosure,2,90,4
Brookbuild_Exclosure,2,110,2
Brookbuild_Exclosure,2,130,0
Brookbuild_Exclosure,2,150,0
Brookbuild_Exclosure,2,170,0
Brookbuild_Exclosure,2,190,0
Brookbuild_Exclosure,2,210,0
Brookbuild_Exclosure,2,230,0
Brookbuild_Exclosure,2,250,0
Brookbuild_Exclosure,2,270,0
Brookbuild_Exclosure,2,290,0
Brookbuild_Exclosure,2,310,0
Brookbuild_Exclosure,3,10,6
Brookbuild_Exclosure,3,30,5
Brookbuild_Exclosure,3,50,1
Brookbuild_Exclosure,3,70,1
Brookbuild_Exclosure,3,90,0
Brookbuild_Exclosure,3,110,0
Brookbuild_Exclosure,3,130,0
Brookbuild_Exclosure,3,150,0
Brookbuild_Exclosure,3,170,0
Brookbuild_Exclosure,3,190,0
Brookbuild_Exclosure,3,210,0
Brookbuild_Exclosure,3,230,0
Brookbuild_Exclosure,3,250,0
Brookbuild_Exclosure,3,270,0
Brookbuild_Exclosure,3,290,0
Brookbuild_Exclosure,3,310,0
Brookbuild_Exclosure,4,10,8
Brookbuild_Exclosure,4,30,7
Brookbuild_Exclosure,4,50,2
Brookbuild_Exclosure,4,70,3
Brookbuild_Exclosure,4,90,0
Brookbuild_Exclosure,4,110,0
Brookbuild_Exclosure,4,130,0
Brookbuild_Exclosure,4,150,0
Brookbuild_Exclosure,4,170,0
Brookbuild_Exclosure,4,190,0
Brookbuild_Exclosure,4,210,0
Brookbuild_Exclosure,4,230,0
Brookbuild_Exclosure,4,250,0
Brookbuild_Exclosure,4,270,0
Brookbuild_Exclosure,4,290,0
